('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         617079 function calls (591908 primitive calls) in 6.746 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.001    0.000 abc.py:125(__new__)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
       66    0.000    0.000    0.000    0.000 element.py:2278(__init__)
      265    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.044    0.044 connectionpool.py:1(<module>)
       38    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
       10    0.000    0.000    0.004    0.000 enum.py:638(_convert)
        9    0.000    0.000    0.000    0.000 __init__.py:1216(getLogger)
        1    0.000    0.000    0.000    0.000 connectionpool.py:914(__init__)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2139(__init__)
      378    0.000    0.000    0.000    0.000 typing.py:618(<genexpr>)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
        3    0.000    0.000    0.127    0.042 __init__.py:3(<module>)
       66    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.001    0.001 parser.py:59(parsestr)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
       23    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       11    0.000    0.000    0.000    0.000 parse.py:412(urlsplit)
