('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         613439 function calls (588578 primitive calls) in 1.106 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ssl.py:840(SSLObject)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
      273    0.000    0.000    0.000    0.000 typing.py:1008(<genexpr>)
       37    0.000    0.000    0.418    0.011 {method 'readline' of '_io.BufferedReader' objects}
       10    0.000    0.000    0.004    0.000 enum.py:536(_convert_)
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
       42    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       22    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.868    0.868 financial.py:6(main)
      197    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       16    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
      224    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       44    0.000    0.000    0.000    0.000 ipaddress.py:1881(__init__)
  121/104    0.000    0.000    0.000    0.000 typing.py:1023(__hash__)
       11    0.000    0.000    0.000    0.000 queue.py:122(put)
        2    0.000    0.000    0.003    0.001 cookies.py:1(<module>)
        3    0.000    0.000    0.000    0.000 url.py:333(parse_url)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       66    0.000    0.000    0.000    0.000 re.py:269(escape)
      181    0.000    0.000    0.000    0.000 typing.py:1017(__eq__)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:983(update)
