Exception: Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
         370138 function calls (351454 primitive calls) in 2.082 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.000    0.000 ssl.py:995(_sslcopydoc)
       15    0.000    0.000    0.035    0.002 css_parser.py:308(__init__)
       14    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
       14    0.000    0.000    0.000    0.000 __init__.py:786(__init__)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
       14    0.000    0.000    0.000    0.000 css_parser.py:461(__init__)
       14    0.000    0.000    0.015    0.001 css_parser.py:1156(process_selectors)
       13    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       13    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       13    0.000    0.000    0.000    0.000 enum.py:451(__members__)
       13    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
       12    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       12    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       12    0.001    0.000    0.001    0.000 __init__.py:328(namedtuple)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       11    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       10    0.000    0.000    0.000    0.000 io.py:60(__getattr__)
       10    0.000    0.000    0.003    0.000 enum.py:483(_create_)
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
       10    0.000    0.000    0.004    0.000 enum.py:536(_convert_)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        9    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        9    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        9    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
