Exception: Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
         370114 function calls (351434 primitive calls) in 2.634 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
      208    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       19    0.000    0.000    0.000    0.000 ipaddress.py:1468(__init__)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
        1    0.000    0.000    0.045    0.045 connectionpool.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1607(<setcomp>)
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
  121/104    0.000    0.000    0.000    0.000 typing.py:1023(__hash__)
       10    0.000    0.000    0.004    0.000 enum.py:536(_convert_)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
        8    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
       47    0.000    0.000    0.000    0.000 ipaddress.py:536(_split_addr_prefix)
       16    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      181    0.000    0.000    0.000    0.000 typing.py:1017(__eq__)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1881(__init__)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       42    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
        3    0.000    0.000    0.001    0.000 response.py:1(<module>)
       53    0.000    0.000    0.000    0.000 six.py:178(_add_module)
        1    0.000    0.000    0.006    0.006 adapters.py:1(<module>)
      149    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       46    0.000    0.000    0.000    0.000 six.py:108(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:220(__init__)
      342    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
